lon,lat,segment,kind
-114.6057,-23.0263,38,ridge
-114.5938,-23.0774,38,ridge
-114.5623,-23.0956,38,ridge
,,38,ridge
-114.5623,-23.0956,39,ridge
-115.0631,-23.1321,39,ridge
-114.9566,-23.4526,39,ridge
-115.4259,-23.6453,39,ridge
-115.3312,-23.961,39,ridge
-116.3525,-24.3517,39,ridge
-116.3131,-24.4781,39,ridge
-116.2658,-24.7053,39,ridge
-116.1948,-24.9284,39,ridge
-116.1317,-25.126,39,ridge
-116.0213,-25.3341,39,ridge
-115.8991,-25.5381,39,ridge
-115.7689,-25.7026,39,ridge
-115.6467,-25.8632,39,ridge
-115.5126,-26.0166,39,ridge
-115.3509,-26.1803,39,ridge
-115.2169,-26.319,39,ridge
-115.1104,-26.3936,39,ridge
-114.6254,-26.6313,39,ridge
-113.3399,-26.649,39,ridge
,,39,ridge
-112.8588,-26.4575,40,ridge
-112.8983,-26.5994,40,ridge
-112.9495,-26.7659,40,ridge
-112.9416,-26.9286,40,ridge
-112.9219,-27.077,40,ridge
-112.9338,-27.2956,40,ridge
-112.9298,-27.4259,40,ridge
-112.9298,-27.5279,40,ridge
-112.9377,-27.57,40,ridge
,,40,ridge
-112.8352,-27.4224,41,ridge
-112.8352,-27.5736,41,ridge
-112.8076,-27.8508,41,ridge
